Amadeus,"Biography, Drama, History",8.3,93,8.7,83,79,4,95,3.9
Amelia,"Adventure, Biography, Drama",5.8,37,4.4,157,32,125,31,2.8
American Beauty,Drama,8.4,86,8.2,180,159,21,93,3.8
American Gangster,"Biography, Crime, Drama",7.8,76,7.0,209,167,42,87,4.0
American Graffiti,"Comedy, Drama, Music",7.5,N/A,8.4,43,41,2,84,3.6
American History X,"Crime, Drama",8.6,62,7.3,82,68,14,96,4.2
American Hustle,"Crime, Drama",7.3,90,8.2,254,236,18,74,3.8
American Madness,Drama,7.5,N/A,N/A,N/A,N/A,N/A,86,3.9
American Outlaws,"Action, Western",6.0,25,3.6,103,14,89,68,3.2
American Pie,Comedy,7.0,58,5.8,123,75,48,61,3.4
"American President, The","Comedy, Drama, Romance",6.8,67,6.9,52,47,5,77,3.3
American Psycho,Drama,7.6,64,6.2,142,95,47,85,3.6
American Shaolin: King of Kickboxers II,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Splendor,"Biography, Comedy, Drama",7.5,90,8.3,181,170,11,86,3.7
American Werewolf in London,"Comedy, Fantasy, Horror",7.6,60,7.8,46,41,5,85,3.4
"American, The","Crime, Drama, Thriller",6.3,61,6.5,211,139,72,38,2.8
"Amityville Asylum, The",Horror,2.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amour,"Drama, Romance",7.9,94,8.7,198,184,14,82,4.0
An Education,Drama,7.3,85,7.9,180,170,10,80,3.8
Analyze That,"Comedy, Crime",5.9,37,4.8,149,40,109,39,2.9
Analyze This,"Comedy, Crime",6.7,61,6.5,101,70,31,62,3.1
Anastasia,"Animation, Adventure, Drama",7.1,59,7.1,52,44,8,77,3.3
Angel Eyes,"Drama, Romance",5.6,39,N/A,N/A,N/A,N/A,100,4.1
Angels & Demons,"Mystery, Thriller",6.7,48,5.1,249,92,157,57,3.4
Anna Karenina,"Drama, Romance",6.6,63,6.5,177,111,66,50,3.2
Annie Hall,"Comedy, Romance",8.1,N/A,8.9,66,65,1,93,3.9
"Anniversary Party, The","Comedy, Drama, Romance",6.4,56,5.8,111,67,44,58,3.2
Anonymous,"Drama, History, Thriller",6.9,50,5.5,168,78,90,53,3.3
Antitrust,"Action, Crime, Drama",6.1,31,4.0,106,25,81,50,2.8
Antz,"Animation, Adventure, Comedy",6.6,72,7.7,89,85,4,51,3.0
"Apartment, The","Comedy, Drama, Romance",8.3,N/A,8.5,59,55,4,94,4.2
Apocalypse Now,"Drama, War",8.5,90,8.9,78,76,2,94,4.1
Apollo 13,"Adventure, Drama, History",7.6,77,8.2,85,81,4,86,3.6
April Fool's Day,"Horror, Mystery",6.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apt Pupil,"Drama, Romance, Thriller",6.7,51,6.0,55,29,26,57,3.1
Arbitrage,"Drama, Thriller",6.6,73,7.0,154,133,21,62,3.5
Arcade,"Horror, Sci-Fi",5.4,N/A,N/A,N/A,N/A,N/A,32,2.8
Arctic Blue,"Action, Thriller",5.1,N/A,N/A,N/A,N/A,N/A,18,2.6
Argo,"Biography, Drama, History",7.8,86,8.4,304,291,13,90,4.2
Armageddon,"Action, Adventure, Sci-Fi",6.6,42,5.2,115,45,70,73,3.5
Army of Darkness,"Comedy, Fantasy, Horror",7.6,57,6.9,46,33,13,87,3.8
Arsenic and Old Lace,"Comedy, Crime, Thriller",8.1,N/A,7.6,25,22,3,92,4.0
Arthur,"Comedy, Romance",5.8,36,4.4,188,48,140,44,3.1
"Artist, The","Comedy, Drama, Romance",8.0,89,8.8,275,267,8,87,4.2
As Good As It Gets,"Comedy, Drama, Romance",7.7,67,7.2,76,65,11,87,3.5
Assassins,"Action, Crime, Thriller",6.3,N/A,3.7,46,7,39,45,3.0
"Assignment, The","Action, Crime, Thriller",6.9,N/A,5.8,19,11,8,62,3.3
At First Sight,"Drama, Romance",5.9,40,5.2,38,12,26,46,2.9
August: Osage County,Drama,7.3,58,6.4,179,115,64,65,3.6
Austin Powers - International Man of Mystery,"Comedy, Sci-Fi",7.0,51,6.4,60,42,18,77,3.4
Austin Powers - The Spy Who Shagged Me,"Action, Adventure, Comedy",6.6,59,6.0,85,43,42,71,3.3
Authors Anonymous,Comedy,4.3,16,3.1,14,1,13,15,2.2
Autumn in New York,"Drama, Romance",5.5,24,4.1,71,14,57,54,2.9
Avatar,"Action, Adventure, Fantasy",7.9,83,7.4,293,244,49,82,4.1
"Avengers, The","Action, Adventure, Sci-Fi",8.1,69,8.0,315,290,25,91,4.4
"Avengers, The (2012)","Action, Adventure, Sci-Fi",8.1,69,8.0,315,290,25,91,4.4
"Avventura, L' (The Adventure)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Awakenings,"Biography, Drama",7.8,74,6.7,33,29,4,89,3.7
Babel,Drama,7.5,69,6.7,195,135,60,77,3.5
Bachelor Party,Comedy,6.3,N/A,5.4,25,13,12,57,3.0
"Bachelor Party, The",Drama,6.9,N/A,N/A,N/A,N/A,N/A,33,3.1
Back to the Future,"Adventure, Comedy, Sci-Fi",8.5,86,8.7,77,74,3,94,3.8
Back to the Future II & III,"Action, Adventure, Sci-Fi",8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Back-up Plan, The","Comedy, Romance",5.3,34,3.6,142,26,116,45,3.1
Backdraft,"Action, Crime, Drama",6.7,38,6.1,42,30,12,75,3.4
Bad Boys,"Action, Comedy, Crime",6.8,41,4.9,47,20,27,78,3.5
Bad Country,"Action, Crime, Drama",5.8,N/A,N/A,N/A,N/A,N/A,41,3.1
Bad Day at Black Rock,"Crime, Drama, Mystery",7.8,N/A,8.1,29,28,1,88,3.9
Bad Dreams,"Horror, Thriller",5.6,N/A,3.4,9,1,8,41,3.1
Bad Lieutenant,"Crime, Drama",7.1,67,7.0,39,30,9,73,3.5
Bad Santa,"Comedy, Crime, Drama",7.1,70,6.7,213,166,47,75,3.2
Bad Teacher,Comedy,5.7,47,5.3,181,79,102,36,2.9
Badlands,"Crime, Drama",7.9,90,8.9,50,49,1,91,4.1
Bamboozled,"Comedy, Drama, Music",6.5,50,5.4,97,47,50,74,3.6
Barry Lyndon,"Adventure, Drama, History",8.1,N/A,8.0,52,50,2,92,4.1
Barton Fink,"Comedy, Drama",7.7,69,7.6,54,49,5,89,3.9
Basic,"Action, Crime, Drama",6.5,34,4.5,142,30,112,63,3.2
Basic Instinct,"Drama, Mystery, Thriller",6.9,41,5.9,59,32,27,63,3.1
Basquiat,"Biography, Drama",6.9,65,N/A,N/A,N/A,N/A,20,2.2
Batman,"Action, Adventure",7.6,69,6.6,68,49,19,84,3.5
Batman 2,Action,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Batman and Robin,"Action, Adventure, Crime",6.3,N/A,N/A,N/A,N/A,N/A,43,3.2
Batman Begins,"Action, Adventure",8.3,70,7.7,267,226,41,94,3.9
Batman Forever,"Action, Adventure, Fantasy",5.4,51,5.2,58,24,34,33,2.9
Batman Returns,Action,7.0,68,6.7,70,56,14,73,3.3
"Battle of Algiers, The","Drama, War",8.1,94,9.0,76,75,1,95,4.4
"Battle of Shaker Heights, The","Drama, Romance, Comedy",6.1,33,5.1,58,24,34,48,3.1
Battle: Los Angeles,Action,4.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Beach, The","Adventure, Drama, Thriller",6.6,43,4.4,116,22,94,57,3.0
Bean,"Comedy, Family",6.3,52,5.3,31,13,18,53,2.9
Beasts of the Southern Wild,"Drama, Fantasy",7.3,86,8.2,184,158,26,76,3.8
Beavis and Butt-head Do America,"Animation, Adventure, Comedy",6.8,64,6.2,54,39,15,69,3.0
Beginners,"Comedy, Drama, Romance",7.2,81,7.3,149,125,24,77,3.8
Being Human,"Drama, Fantasy, Horror",7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Being John Malkovich,"Comedy, Drama, Fantasy",7.8,90,8.1,123,114,9,87,3.6
Being There,"Comedy, Drama",8.0,N/A,8.5,46,44,2,92,4.1
"Believer, The",Drama,7.2,75,7.3,90,74,16,82,3.8
Beloved,"Drama, History, Horror",5.9,57,7.1,67,52,15,71,3.4
Benny & Joon,Short,8.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Best Exotic Marigold Hotel, The","Comedy, Drama",7.3,62,6.6,148,115,33,79,3.8
Big,"Comedy, Drama, Family",7.3,72,7.9,72,70,2,82,3.5
"Big Blue, The","Action, Adventure, Drama",7.6,35,5.5,19,12,7,93,4.1
Big Fish,"Adventure, Drama, Fantasy",8.0,58,7.2,214,164,50,89,3.7
"Big Lebowski, The","Comedy, Crime",8.2,69,7.2,87,70,17,94,4.0
"Big White, The","Comedy, Crime, Drama",6.5,31,4.0,10,3,7,56,3.2
"Birds, The",Horror,7.7,N/A,8.2,51,49,2,83,3.6
Birthday Girl,"Comedy, Crime, Thriller",6.1,51,5.7,122,71,51,40,2.8
"Black Dahlia, The","Crime, Drama, Mystery",5.6,49,4.8,186,60,126,27,2.6
Black Rain,"Action, Crime, Thriller",6.6,N/A,5.3,21,11,10,55,3.1
Black Snake Moan,"Drama, Music",7.0,52,6.4,157,104,53,69,3.3
Black Swan,"Drama, Thriller",8.0,79,8.2,275,238,37,84,4.0
Blade,"Action, Horror",7.1,45,5.7,93,50,43,78,3.6
Blade II,"Action, Horror, Sci-Fi",6.7,52,5.9,146,83,63,68,3.4
Blade Runner,"Sci-Fi, Thriller",8.2,88,8.5,104,93,11,91,4.0
Blade: Trinity,"Action, Adventure, Fantasy",5.9,38,4.4,165,42,123,59,3.4
"Blast from the Past, The",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Blind Side, The","Biography, Drama, Sport",7.7,53,6.1,197,130,67,85,4.1
"Bling Ring, The","Biography, Crime, Drama",5.6,66,6.3,183,109,74,33,2.8
Blood and Wine,"Crime, Drama, Thriller",6.1,N/A,6.1,31,19,12,35,3.0
Blood Simple,"Short, Drama",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blow,"Biography, Crime, Drama",7.6,52,5.8,136,75,61,87,3.8
Blue Valentine,"Drama, Romance",7.4,81,7.8,194,170,24,77,3.7
Blue Velvet,"Drama, Mystery, Thriller",7.8,75,8.7,62,58,4,89,4.0
"Blues Brothers, The","Action, Comedy, Crime",7.9,N/A,7.1,53,45,8,93,3.7
"Bodies, Rest & Motion",Drama,5.6,N/A,4.9,29,15,14,50,3.0
Body Heat,"Crime, Drama, Thriller",7.4,78,8.0,37,36,1,80,3.6
Body of Evidence,"Drama, Thriller",4.3,N/A,2.7,34,2,32,22,2.4
Bodyguard,"Action, Romance",4.5,41,N/A,N/A,N/A,N/A,N/A,N/A
Bones,"Comedy, Crime, Drama",8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bonfire of the Vanities,"Comedy, Drama",5.4,N/A,3.9,50,8,42,27,2.6
Bonnie and Clyde,"Biography, Crime, Drama",7.9,81,8.2,51,46,5,88,3.8
Boogie Nights,Drama,7.9,85,8.1,65,60,5,89,3.6
"Book of Eli, The","Action, Adventure, Drama",6.9,53,5.4,192,92,100,64,3.4
Boondock Saints 2: All Saints Day,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Boondock Saints, The","Action, Crime, Thriller",7.9,44,4.2,25,5,20,91,4.2
Bottle Rocket,"Comedy, Crime, Drama",7.1,65,6.8,65,55,10,80,3.7
Bound,"Crime, Drama, Romance",7.4,61,7.8,37,34,3,82,3.5
"Bounty Hunter, The","Action, Comedy, Romance",5.5,22,3.5,143,18,125,51,3.3
"Bourne Identity, The","Action, Mystery, Thriller",7.9,68,7.0,185,154,31,93,3.9
"Bourne Supremacy, The","Action, Thriller",7.8,73,7.2,190,154,36,90,3.9
"Bourne Ultimatum, The","Action, Thriller",8.1,85,8.0,257,239,18,91,4.1
"Box, The","Drama, Fantasy, Mystery",5.6,47,5.1,150,67,83,23,2.4
Braveheart,"Biography, Drama, History",8.4,68,7.2,65,51,14,85,3.8
Brazil,"Drama, Sci-Fi",8.0,88,8.7,46,45,1,90,4.1
Break,"Action, Crime, Drama",4.1,N/A,N/A,N/A,N/A,N/A,22,3.0
Breakdown,"Action, Crime, Drama",6.9,73,7.1,50,40,10,66,3.1
"Breakfast Club, The","Comedy, Drama",7.9,62,7.6,56,50,6,92,3.9
Breaking Away,"Comedy, Drama, Sport",7.7,N/A,8.2,35,33,2,88,3.9
Brick,"Comedy, Crime, Drama",7.4,72,7.1,138,110,28,86,3.9
Bridesmaids,"Comedy, Romance",6.8,75,7.6,265,238,27,76,3.9
Bringing Out the Dead,"Drama, Thriller",6.8,70,6.7,105,75,30,70,3.2
Broadcast News,"Comedy, Drama, Romance",7.2,84,8.1,41,40,1,78,3.6
Broken Arrow,"Action, Crime, Thriller",6.0,61,5.8,30,16,14,44,2.9
Broken Embraces,"Drama, Romance, Thriller",7.2,76,7.0,147,119,28,75,3.7
"Brothers Bloom, The","Adventure, Comedy, Drama",6.9,55,6.2,151,100,51,64,3.3
Bruce Almighty,"Comedy, Drama, Fantasy",6.7,46,5.6,184,89,95,57,3.3
Buffy the Vampire Slayer,"Action, Drama, Fantasy",8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bull Durham,"Comedy, Romance, Sport",7.1,73,7.8,63,61,2,83,3.4
Buried,"Drama, Mystery, Thriller",7.0,65,7.3,151,131,20,64,3.4
Burlesque,"Drama, Music, Romance",6.4,47,4.8,148,54,94,64,3.6
Burn After Reading,Comedy,7.0,63,6.9,227,178,49,64,3.3
Burning Annie,"Comedy, Drama, Romance",5.6,38,4.6,7,2,5,31,2.8
"Butterfly Effect, The","Sci-Fi, Thriller",7.7,30,4.8,169,55,114,81,3.6
Cable Guy,"Comedy, Thriller",6.0,N/A,5.5,57,31,26,51,2.8
Candle to Water,Drama,4.6,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Capote,"Biography, Crime, Drama",7.4,88,8.2,182,164,18,81,3.6
Carrie,"Drama, Fantasy, Horror",7.4,N/A,8.4,54,50,4,76,3.4
Cars 2,"Animation, Adventure, Comedy",6.3,57,5.5,205,80,125,50,3.3
Casablanca,"Drama, Romance, War",8.6,N/A,9.3,73,71,2,95,4.1
Case 39,"Horror, Mystery, Thriller",6.2,25,4.0,74,16,58,40,3.0
Casino,"Biography, Crime, Drama",8.2,73,7.2,61,49,12,93,3.9
Cast Away,"Adventure, Drama, Romance",7.7,73,7.4,154,138,16,83,3.5
Catch Me If You Can,"Biography, Crime, Drama",8.0,76,7.9,195,187,8,89,3.6
Catwoman,"Action, Crime, Fantasy",3.3,27,3.1,195,17,178,18,2.2
Cecil B. Demented,"Comedy, Crime, Thriller",6.2,57,5.6,80,42,38,67,3.4
Cedar Rapids,Comedy,6.3,70,6.7,160,137,23,59,3.3
Celeste & Jesse Forever,"Drama, Mystery, Romance",6.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cell, The","Horror, Sci-Fi, Thriller",6.3,40,5.3,146,67,79,57,2.8
Cellular,"Action, Crime, Thriller",6.5,60,5.8,148,81,67,59,3.1
"Change-Up, The","Comedy, Fantasy",6.4,39,4.4,148,37,111,47,3.2
Changeling,"Crime, Drama, Mystery",7.8,63,6.3,197,122,75,82,3.8
Chaos,"Action, Crime, Drama",6.5,N/A,N/A,N/A,N/A,N/A,57,3.4
Charade,"Comedy, Mystery, Romance",8.0,N/A,8.1,36,33,3,92,4.1
Charlie's Angels,"Action, Adventure, Comedy",5.5,52,6.2,141,95,46,45,2.9
Chasing Amy,"Comedy, Drama, Romance",7.4,71,7.4,83,73,10,83,3.5
Chasing Sleep,"Horror, Mystery, Thriller",6.5,N/A,5.9,6,3,3,47,3.0
Cherry Falls,"Horror, Mystery, Thriller",5.0,N/A,6.0,14,7,7,31,2.7
Chinatown,"Drama, Mystery, Thriller",8.2,86,9.3,61,60,1,93,4.2
Christ Complex,"Comedy, Fantasy",6.7,N/A,N/A,N/A,N/A,N/A,100,4.8
Chronicle,"Drama, Sci-Fi, Thriller",7.1,69,7.1,166,141,25,71,3.7
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy",6.9,75,6.9,210,160,50,61,3.1
"Cider House Rules, The","Drama, Romance",7.4,75,6.6,111,79,32,77,3.4
"Cincinnati Kid, The",Drama,7.3,N/A,7.7,20,17,3,78,3.6
Cinema Paradiso,Drama,8.5,80,8.0,67,60,7,97,4.4
Cirque du Freak: The Vampire's Assistant,"Action, Adventure, Fantasy",6.0,43,4.9,135,51,84,42,2.7
Citizen Kane,"Drama, Mystery",8.4,N/A,9.4,71,71,0,90,4.1
City of Joy,Drama,6.4,N/A,5.0,14,8,6,76,3.4
Clash of the Titans,"Action, Adventure, Fantasy",5.8,39,4.3,239,67,172,39,3.1
Clerks,Comedy,7.8,70,7.4,49,43,6,89,3.8
Cliffhanger,"Action, Adventure, Thriller",6.4,60,6.2,49,34,15,52,2.8
"Clockwork Orange, A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clueless,"Comedy, Romance",6.8,68,N/A,N/A,N/A,N/A,0,2.4
Cobb,"Biography, Drama, Sport",6.4,N/A,6.4,47,30,17,60,3.2
Code of Silence,"Action, Crime, Drama",6.0,N/A,5.6,12,6,6,51,3.0
Cold Mountain,"Adventure, Drama, History",7.2,73,6.7,223,158,65,77,3.3
Collateral,"Crime, Drama, Thriller",7.6,71,7.4,228,197,31,84,3.5
Collateral Damage,"Action, Drama, Thriller",5.5,33,4.0,142,27,115,27,2.8
Colombiana,"Action, Crime, Drama",6.4,45,4.8,94,25,69,67,3.8
Color of Night,"Mystery, Romance, Thriller",5.1,N/A,3.9,46,10,36,30,2.7
Commando,"Action, Crime, Thriller",6.7,N/A,6.0,32,22,10,67,3.1
Conan the Barbarian,"Adventure, Fantasy",6.9,43,6.6,33,23,10,74,3.1
Confessions of a Dangerous Mind,"Biography, Comedy, Crime",7.1,67,N/A,N/A,N/A,N/A,N/A,N/A
Confidence,"Crime, Thriller",6.7,59,6.3,154,108,46,70,3.4
Constantine,"Drama, Fantasy, Horror",6.9,50,5.5,218,101,117,72,3.5
Contact,"Drama, Mystery, Sci-Fi",7.4,62,6.8,63,39,24,78,3.2
"Cooler, The","Crime, Drama, Fantasy",7.0,69,6.7,171,131,40,70,3.3
Copycat,"Crime, Drama, Mystery",6.6,54,6.6,36,27,9,64,3.1
Coraline,"Animation, Fantasy",7.7,80,7.8,257,232,25,73,3.7
Coriolanus,"Drama, Thriller, War",6.2,79,7.4,136,126,10,58,3.3
Courage Under Fire,"Action, Drama, Mystery",6.6,77,7.3,53,45,8,65,3.2
Cowboys & Aliens,"Comedy, Drama",7.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cradle 2 the Grave,"Action, Crime, Drama",5.8,36,4.5,121,31,90,52,3.2
Crank,"Action, Crime, Thriller",7.0,57,6.0,93,57,36,71,3.5
Crash,Drama,7.9,69,7.3,227,170,57,88,4.0
"Crazy, Stupid, Love","Comedy, Drama, Romance",7.4,68,6.9,205,160,45,77,3.8
Crazylove,"Comedy, Drama, Romance",6.2,N/A,N/A,N/A,N/A,N/A,55,3.3
Creation,"Biography, Drama",6.7,51,5.5,110,51,59,49,3.2
Crime Spree,"Action, Comedy, Crime",6.6,N/A,5.5,7,3,4,56,3.2
"Croods, The","Animation, Adventure, Comedy",7.3,55,6.6,136,96,40,78,3.9
"Crouching Tiger, Hidden Dragon","Action, Drama, Romance",7.9,93,8.6,151,147,4,86,3.6
Croupier,"Crime, Drama",7.2,75,7.7,54,53,1,80,3.7
"Crow Salvation, The","Action, Crime, Fantasy",5.0,N/A,4.6,9,2,7,43,2.9
"Crow, The","Action, Drama, Fantasy",7.6,71,7.0,50,41,9,90,3.8
"Crow: City of Angels, The","Action, Fantasy, Thriller",4.5,N/A,3.4,33,4,29,41,2.9
Cruel Intentions,"Drama, Romance",6.9,56,5.3,78,38,40,81,3.4
Crying Game,"Crime, Drama, Romance",7.3,90,8.3,62,60,2,78,3.5
Cube,"Mystery, Sci-Fi, Thriller",7.3,61,6.3,37,23,14,77,3.5
"Curious Case of Benjamin Button, The","Drama, Fantasy, Romance",7.8,70,7.1,238,171,67,80,3.7
Custody,Drama,6.0,N/A,N/A,N/A,N/A,N/A,46,3.3
"Damned United, The","Biography, Drama, Sport",7.6,81,7.5,128,119,9,85,3.7
Dances with Wolves,"Adventure, Drama, Western",8.0,72,7.5,66,54,12,87,3.6
Dark City,"Action, Drama, Fantasy",7.7,66,N/A,N/A,N/A,N/A,N/A,N/A
"Dark Knight Rises, The","Action, Thriller",8.5,78,8.0,330,286,44,90,4.3
"Dark Knight, The","Action, Crime, Thriller",9.0,82,8.6,314,295,19,94,4.4
Dark Star,"Comedy, Sci-Fi",6.5,N/A,6.5,24,19,5,66,3.4
Darkman,"Action, Crime, Fantasy",6.4,65,6.8,58,48,10,58,3.0
Date Night,"Comedy, Crime, Romance",6.3,56,6.1,220,147,73,55,3.3
Dave Barry's Complete Guide to Guys,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dawn of the Dead,Horror,7.4,59,6.7,182,137,45,77,3.4
Day of the Dead,Horror,7.2,N/A,6.9,34,28,6,75,3.5
"Day the Clown Cried, The","Short, Drama",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Day the Earth Stood Still, The","Drama, Sci-Fi, Thriller",5.5,40,4.1,191,40,151,27,2.8
Days of Heaven,"Drama, Romance",8.0,93,8.3,48,45,3,89,4.1
Dead Poets Society,"Comedy, Drama",8.0,79,7.2,54,46,8,92,3.8
Death at a Funeral,Comedy,7.4,67,N/A,N/A,N/A,N/A,100,3.5
Death to Smoochy,"Comedy, Crime, Drama",6.4,38,5.3,120,50,70,66,3.0
"Debt, The","Drama, Thriller",6.9,65,6.5,175,133,42,66,3.5
Deception,"Crime, Drama, Mystery",6.1,31,3.9,96,13,83,31,2.9
Deep Cover,"Action, Crime, Thriller",6.9,N/A,6.6,20,17,3,77,3.5
Deep Rising,"Action, Adventure, Horror",6.0,N/A,4.2,29,9,20,43,2.8
"Deer Hunter, The","Drama, War",8.2,73,8.6,61,57,4,92,4.1
Defiance,"Action, Drama, History",7.2,58,5.9,178,101,77,72,3.6
"Departed, The","Crime, Drama, Thriller",8.5,86,8.2,263,239,24,94,4.1
"Descendants, The","Comedy, Drama",7.3,84,8.1,238,212,26,79,3.8
Despicable Me 2,"Animation, Comedy, Family",7.5,62,6.6,172,126,46,85,4.2
Detroit Rock City,"Comedy, Music",6.8,33,5.2,39,18,21,82,3.5
Devil in a Blue Dress,"Crime, Drama, Mystery",6.7,78,7.3,53,46,7,69,3.4
Devil's Advocate,"Drama, Crime",6.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Die Hard,"Action, Thriller",8.2,70,8.4,64,59,5,94,3.9
Die Hard 2,"Action, Thriller",7.1,67,6.1,61,42,19,70,3.5
Diner,"Comedy, Drama",7.2,86,8.3,35,32,3,78,3.6
"Distinguished Gentleman, The","Comedy, Crime",5.8,45,4.0,15,2,13,36,2.8
